position,gr,M0,gt
0.0,0.04999997841985266,40.0,12.57358
1.0,0.049999977766290456,40.754131704159605,14.51388
2.0,0.049999955211198314,42.12372056482499,14.617260000000002
3.0,0.0499999995427276,43.670416485175494,14.685469999999995
4.0,0.04999996876179586,45.47506045508593,13.183760000000007
5.0,0.05000006023518929,43.914519115502145,11.133020000000002
6.0,0.049999973567694256,38.25655010346252,11.986040000000003
7.0,0.049999969448596124,34.79458857811687,14.067599999999999
8.0,0.04999996392781829,35.035197036902424,13.460930000000005
9.0,0.049999948944867305,34.302145253555594,14.998599999999996
10.0,0.049999995040519656,36.273650946954476,12.856689999999986
11.0,0.05000002905045584,34.455985824044056,15.615489999999994
12.0,0.04999997110611045,37.584585204921765,16.381100000000004
13.0,0.049999988358534565,42.58463149689578,11.129889999999989
14.0,0.049999999114334004,37.07846365803274,16.68464
15.0,0.050000000424947254,42.61699561201238,11.412150000000025
16.0,0.04999999214449218,39.70516137652939,12.27845000000002
17.0,0.04999999136871259,38.519265352261556,11.169560000000018
18.0,0.04999997520084578,35.72721735024218,11.684660000000008
19.0,0.049999989759995596,33.85539472654483,17.765199999999993
20.0,0.049999957968724314,41.060488385753764,13.795770000000005
21.0,0.04999999729537771,40.834463053151985,14.695170000000019
